#  yearly clustered version of ../OC9407_1.csv
# epoch    O-C       O-Cerr    Npts
   -5429.5    -28.25    3.9598         2
  -252.789 -0.0555832   2.27309         7
   32.4038  0.103661   1.58403        13
   329.284  -1.34842   1.94526         9
    653.75      7.15       2.8         4
     906.6       3.1    2.5044         5
   1203.67   5.63333   3.23316         3
   1490.33   13.2333   3.23316         3
      2038      17.5       5.6         1
    2361.5     23.35    3.9598         2
   2603.49   32.0148   2.33223         8
   2878.36   31.0685   2.69223         5
      3418        33       5.6         1
